Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-02-18 21:20:21,2024-02-19 20:50:35,UTC-05:00,2024-02-18 21:20:21,2024-02-19 07:55:22,100,14.6,545,635,374,140,31,90,503,44,85,75,false
2024-02-17 23:04:19,2024-02-18 21:20:21,UTC-05:00,2024-02-17 23:04:19,2024-02-18 07:05:27,81,15.2,372,481,260,36,76,109,460,0,77,72,false
2024-02-16 21:36:24,2024-02-17 23:04:19,UTC-05:00,2024-02-16 21:36:24,2024-02-17 06:46:44,100,16.1,519,548,278,88,153,29,473,14,94,84,false
2024-02-15 21:02:36,2024-02-16 21:36:24,UTC-05:00,2024-02-15 21:02:36,2024-02-16 05:48:26,95,13.7,450,516,220,116,114,66,474,15,88,87,false
2024-02-14 21:29:56,2024-02-15 21:02:36,UTC-05:00,2024-02-14 21:29:56,2024-02-15 06:13:47,95,14.0,468,516,226,95,147,48,493,34,92,82,false
2024-02-13 21:20:54,2024-02-14 21:29:56,UTC-05:00,2024-02-13 21:20:54,2024-02-14 06:00:37,85,15.3,405,513,251,90,64,108,475,0,79,75,false
2024-02-12 20:47:25,2024-02-13 21:20:54,UTC-05:00,2024-02-12 20:47:25,2024-02-13 06:15:41,100,15.5,508,566,308,103,97,58,449,56,89,59,false
2024-02-11 22:56:18,2024-02-12 20:47:25,UTC-05:00,2024-02-12 10:45:50,2024-02-12 12:07:33,13,16.3,64,81,58,6,0,17,514,56,82,,true
2024-02-11 22:56:18,2024-02-12 20:47:25,UTC-05:00,2024-02-11 22:56:18,2024-02-12 05:59:45,77,15.3,376,422,257,48,71,46,489,27,92,82,false
2024-02-10 22:55:28,2024-02-11 22:56:18,UTC-05:00,2024-02-10 22:55:28,2024-02-11 07:01:25,88,14.8,403,478,221,84,98,75,457,0,84,75,false
2024-02-09 21:24:38,2024-02-10 22:55:28,UTC-05:00,2024-02-09 21:24:38,2024-02-10 07:13:12,100,15.2,494,587,300,114,80,93,489,30,86,82,false
2024-02-08 21:56:25,2024-02-09 21:24:38,UTC-05:00,2024-02-08 21:56:25,2024-02-09 06:09:34,90,15.8,437,493,325,89,23,56,485,26,91,87,false
2024-02-07 20:50:40,2024-02-08 21:56:25,UTC-05:00,2024-02-07 20:50:40,2024-02-08 06:01:55,91,14.7,426,547,281,128,17,121,468,9,79,83,false
2024-02-06 21:39:01,2024-02-07 20:50:40,UTC-05:00,2024-02-06 21:39:01,2024-02-07 06:14:29,97,16.0,473,510,330,75,68,37,488,27,93,84,false
2024-02-05 21:21:15,2024-02-06 21:39:01,UTC-05:00,2024-02-05 21:21:15,2024-02-06 06:04:19,91,16.0,449,518,372,35,42,69,492,33,86,78,false
2024-02-04 22:48:19,2024-02-05 21:21:15,UTC-05:00,2024-02-04 22:48:19,2024-02-05 06:13:53,89,14.1,414,443,306,34,74,29,466,3,93,68,false
2024-02-03 22:38:53,2024-02-04 22:48:19,UTC-05:00,2024-02-03 22:38:53,2024-02-04 07:44:55,99,15.2,493,546,408,43,42,53,498,38,90,64,false
